book_author_id,book_id,author_id
1,1,3565
2,1,5832
3,2,3565
4,2,5832
5,4,3565
6,5,3565
7,5,5832
8,8,3565
9,8,5832
10,9,8897
11,10,3565
12,12,2139
13,13,2139
14,14,2139
15,16,2139
16,16,8194
17,18,2139
18,21,793
19,22,793
20,23,793
21,24,793
22,25,793
23,26,793
24,27,793
25,28,793
26,29,793
27,30,3578
28,31,3578
29,34,3578
30,35,3578
31,35,103
32,36,1281
33,36,1352
34,36,7352
35,37,4615
36,45,1675
37,45,1781
38,45,5175
39,45,6236
40,45,8566
41,45,320
42,50,2846
43,51,2104
44,51,2293
45,51,4871
46,53,2846
47,54,6292
48,55,1562
49,57,380
50,57,7818
51,57,4641
52,57,5764
53,57,4774
54,57,8036
55,57,5019
56,57,4777
57,57,9015
58,58,1934
59,59,6633
60,61,9187
61,63,4778
62,66,6972
63,67,2289
64,68,2289
65,68,4938
66,69,2289
67,71,7925
68,72,5732
69,74,4383
70,74,9067
71,75,4383
72,76,4383
73,77,4383
74,78,4383
75,79,4383
76,80,4383
77,81,4383
78,83,4383
79,85,8995
80,86,8995
81,89,3253
82,90,3251
83,91,3249
84,91,7657
85,92,3253
86,93,4202
87,93,785
88,93,383
89,94,3253
90,96,7657
91,96,3249
92,98,3255
93,98,8010
94,98,547
95,98,7862
96,98,5683
97,99,3252
98,99,5238
99,100,3251
100,103,2693
101,105,2693
102,106,2693
103,107,920
104,109,2693
105,110,2693
106,110,920
107,110,4934
108,117,2693
109,119,2848
110,122,983
111,123,983
112,129,4260
113,129,8239
114,129,8590
115,130,1664
116,131,5366
117,132,42
118,133,5757
119,135,1301
120,135,5299
121,137,5757
122,138,4657
123,139,5757
124,140,5757
125,141,5396
126,141,5193
127,142,7741
128,144,7741
129,147,7391
130,151,5173
131,151,7322
132,151,5038
133,152,5173
134,152,1815
135,152,7022
136,153,5173
137,153,7322
138,153,5038
139,153,4243
140,154,5615
141,154,5173
142,155,5173
143,155,292
144,155,1484
145,156,5173
146,156,5388
147,156,620
148,157,5173
149,157,1484
150,157,292
151,159,3039
152,160,517
153,162,6317
154,162,2206
155,163,4241
156,164,2352
157,164,6557
158,165,6380
159,166,8809
160,166,9143
161,168,8827
162,168,2806
163,168,2340
164,171,694
165,177,4262
166,177,6683
167,177,8561
168,180,2950
169,180,4853
170,181,5470
171,182,8476
172,201,5470
173,204,1520
174,205,1240
175,207,2599
176,207,1247
177,207,7568
178,208,1597
179,213,1245
180,213,3738
181,214,1245
182,214,5118
183,216,1245
184,216,2439
185,230,1245
186,231,8723
187,237,2283
188,237,5077
189,237,2286
190,244,7033
191,245,3295
192,245,8592
193,247,3295
194,249,3295
195,249,4122
196,250,3295
197,251,3295
198,252,3295
199,253,3295
200,264,3290
201,264,6639
202,269,3290
203,269,2793
204,269,5818
205,277,5595
206,278,5595
207,278,643
208,280,5595
209,280,7344
210,285,4718
211,285,8349
212,285,7830
213,288,3908
214,288,9209
215,288,4718
216,289,4718
217,289,4453
218,289,7617
219,290,4718
220,290,9209
221,291,4718
222,291,9209
223,291,513
224,292,4718
225,292,9209
226,295,7513
227,296,7513
228,296,7949
229,297,7513
230,298,7513
231,298,6331
232,298,8656
233,299,7513
234,299,6260
235,302,1926
236,302,15
237,302,7513
238,313,7101
239,324,2794
240,330,2167
241,332,1904
242,333,4933
243,337,6678
244,348,7411
245,350,7411
246,354,7411
247,355,7411
248,356,7411
249,357,2139
250,359,2139
251,362,6448
252,367,8520
253,377,2139
254,377,1361
255,382,8383
256,382,6532
257,385,3216
258,386,6455
259,394,2821
260,397,37
261,397,6127
262,399,2042
263,400,2042
264,403,2042
265,404,2042
266,406,2042
267,407,2042
268,408,2042
269,409,8614
270,410,8614
271,411,8614
272,412,8614
273,413,8614
274,413,1347
275,413,945
276,414,8614
277,415,8614
278,416,8614
279,418,7269
280,418,8614
281,420,4133
282,421,4133
283,422,4133
284,423,4133
285,424,4133
286,425,4133
287,426,4133
288,426,4357
289,428,4133
290,428,1867
291,431,6694
292,431,559
293,431,5395
294,432,6694
295,434,6694
296,435,6694
297,444,6885
298,444,7017
299,444,6494
300,446,6694
301,447,6694
302,453,6694
303,454,6694
304,456,6694
305,463,6694
306,466,6694
307,475,3870
308,476,8219
309,476,3023
310,477,4540
311,478,7453
312,481,6950
313,484,4593
314,484,3038
315,484,764
316,484,8817
317,484,6635
318,493,6485
319,494,5523
320,494,9061
321,497,1082
322,498,6485
323,498,1778
324,511,4672
325,511,5220
326,511,4957
327,515,1675
328,515,1166
329,515,369
330,523,5920
331,523,1446
332,523,9053
333,524,9053
334,531,8844
335,534,2483
336,534,528
337,537,215
338,538,215
339,539,8016
340,565,1674
341,565,6291
342,570,2379
343,576,6137
344,576,6665
345,576,8789
346,597,1402
347,599,1402
348,619,3821
349,629,7518
350,639,4936
351,639,1085
352,639,7943
353,642,7689
354,642,8599
355,643,4322
356,650,1132
357,650,800
358,655,5173
359,655,3402
360,656,5173
361,656,3289
362,656,620
363,656,5388
364,658,5173
365,658,1484
366,662,621
367,662,5192
368,663,621
369,664,621
370,665,621
371,665,6391
372,667,621
373,668,621
374,668,5192
375,669,621
376,669,6391
377,669,110
378,669,7491
379,670,621
380,670,6155
381,670,5192
382,672,3564
383,672,6859
384,675,1458
385,676,822
386,678,1360
387,681,4943
388,685,750
389,685,4926
390,698,467
391,700,2833
392,700,867
393,702,8584
394,702,6848
395,703,6962
396,707,4470
397,759,2794
398,759,3108
399,759,3579
400,762,2794
401,763,2794
402,764,2794
403,765,2794
404,765,2235
405,766,2794
406,771,918
407,775,8794
408,775,8533
409,787,7385
410,787,763
411,787,7161
412,793,5332
413,793,7908
414,793,8266
415,797,5332
416,797,7908
417,797,8705
418,799,5332
419,799,5693
420,815,3153
421,816,6400
422,821,6400
423,822,6400
424,823,6400
425,824,6400
426,824,3530
427,826,6400
428,827,6400
429,827,6782
430,828,6400
431,828,2915
432,828,8170
433,829,6400
434,830,6400
435,830,3128
436,834,1577
437,834,815
438,835,1577
439,835,815
440,840,2066
441,841,2066
442,842,2066
443,848,159
444,848,2009
445,848,8211
446,864,6775
447,864,123
448,864,3751
449,865,6775
450,865,123
451,865,9201
452,866,3346
453,866,90
454,868,3346
455,868,90
456,869,3346
457,869,90
458,870,3346
459,870,90
460,871,3346
461,871,90
462,872,6775
463,872,123
464,872,6329
465,873,3346
466,873,90
467,880,7401
468,888,2263
469,888,4315
470,890,4431
471,900,6410
472,902,2430
473,903,9187
474,929,573
475,930,573
476,931,573
477,932,1676
478,932,6786
479,932,7390
480,932,573
481,933,573
482,935,6265
483,935,7118
484,941,3550
485,941,2489
486,944,5563
487,944,6959
488,955,2832
489,960,1574
490,965,1574
491,966,1574
492,966,7148
493,968,1574
494,969,1574
495,972,1574
496,972,1620
497,975,1574
498,977,1574
499,980,1574
500,987,6581
501,998,8598
502,998,9039
503,1005,6379
504,1007,6379
505,1014,6228
506,1022,7380
507,1032,2081
508,1032,8745
509,1052,2945
510,1053,2945
511,1059,8764
512,1059,3017
513,1067,1823
514,1068,6805
515,1068,8046
516,1073,7497
517,1078,6778
518,1090,7377
519,1097,2522
520,1099,2522
521,1103,5297
522,1110,4318
523,1111,7406
524,1117,8251
525,1120,809
526,1120,6051
527,1121,6604
528,1121,1407
529,1123,809
530,1130,7476
531,1130,806
532,1130,4898
533,1138,7537
534,1138,8709
535,1164,5801
536,1164,4412
537,1167,663
538,1167,1945
539,1169,7915
540,1171,6013
541,1177,2700
542,1188,8797
543,1188,3880
544,1188,5939
545,1191,2989
546,1191,8858
547,1192,2989
548,1193,2989
549,1193,8858
550,1196,8787
551,1196,6923
552,1197,8787
553,1197,4125
554,1197,790
555,1197,860
556,1198,8787
557,1198,6923
558,1202,8293
559,1202,8206
560,1204,8293
561,1204,8206
562,1206,8293
563,1206,8206
564,1218,685
565,1226,9146
566,1230,9146
567,1230,6472
568,1230,2451
569,1234,7564
570,1241,3699
571,1242,7028
572,1243,3756
573,1243,6585
574,1246,3744
575,1246,696
576,1252,2093
577,1255,2854
578,1265,7749
579,1274,4314
580,1276,4314
581,1281,4314
582,1290,7663
583,1290,1738
584,1295,3913
585,1296,3913
586,1301,6013
587,1302,2136
588,1303,7484
589,1303,4526
590,1305,8309
591,1307,5578
592,1307,8755
593,1312,8594
594,1315,8309
595,1317,8309
596,1318,8309
597,1319,8309
598,1319,7526
599,1320,8207
600,1320,8309
601,1322,1787
602,1322,8309
603,1326,7004
604,1326,8936
605,1327,7004
606,1327,7617
607,1328,7004
608,1328,1011
609,1334,7004
610,1334,738
611,1337,4538
612,1337,7359
613,1337,1418
614,1338,7004
615,1338,1002
616,1342,7004
617,1342,3714
618,1351,7004
619,1351,1011
620,1354,7004
621,1354,8936
622,1354,1292
623,1362,3321
624,1362,604
625,1362,4371
626,1363,3321
627,1363,604
628,1363,4371
629,1364,3321
630,1364,3287
631,1365,3321
632,1365,1112
633,1365,7617
634,1366,3321
635,1366,604
636,1366,355
637,1367,3321
638,1367,3998
639,1367,8930
640,1368,3321
641,1368,2280
642,1368,2942
643,1368,7707
644,1369,3321
645,1369,6845
646,1371,3358
647,1371,7470
648,1371,748
649,1373,3358
650,1373,8148
651,1373,8029
652,1374,3358
653,1374,7472
654,1374,335
655,1375,3358
656,1375,7470
657,1375,748
658,1376,3358
659,1376,2211
660,1376,6866
661,1376,1539
662,1377,3358
663,1377,8912
664,1378,3358
665,1378,8029
666,1378,8148
667,1381,3358
668,1381,7470
669,1381,748
670,1382,3358
671,1382,7472
672,1382,1545
673,1383,3358
674,1383,7363
675,1384,3358
676,1384,2211
677,1384,6866
678,1384,1539
679,1387,3358
680,1387,8912
681,1391,8876
682,1391,671
683,1402,8876
684,1402,3301
685,1402,2788
686,1403,2224
687,1405,8876
688,1405,1156
689,1408,6689
690,1417,9112
691,1417,8235
692,1417,20
693,1419,9112
694,1420,9112
695,1420,3192
696,1420,7199
697,1423,7170
698,1423,49
699,1423,1622
700,1423,4045
701,1424,6775
702,1424,123
703,1425,6775
704,1425,123
705,1426,6775
706,1427,6775
707,1427,5564
708,1428,6775
709,1428,123
710,1429,6775
711,1429,1445
712,1431,6775
713,1431,5564
714,1431,5006
715,1433,9112
716,1433,8235
717,1433,20
718,1437,1060
719,1438,9112
720,1438,8503
721,1439,3008
722,1439,3323
723,1440,8625
724,1440,1004
725,1441,8625
726,1441,6762
727,1444,8625
728,1444,1004
729,1445,8625
730,1445,8303
731,1449,8625
732,1449,3998
733,1449,8930
734,1459,8625
735,1459,1004
736,1461,1526
737,1462,2585
738,1462,7363
739,1462,1769
740,1462,7201
741,1462,7102
742,1463,2585
743,1463,1769
744,1463,7363
745,1463,2463
746,1463,2417
747,1463,9026
748,1465,2585
749,1465,1769
750,1465,7363
751,1465,9026
752,1465,2717
753,1465,1229
754,1466,444
755,1466,2585
756,1467,2585
757,1467,6314
758,1467,4375
759,1468,2585
760,1468,1769
761,1468,7363
762,1468,9026
763,1468,4304
764,1468,7683
765,1470,2585
766,1470,1769
767,1470,7363
768,1470,9132
769,1470,9026
770,1473,2585
771,1473,4280
772,1473,7338
773,1474,2585
774,1474,1794
775,1475,2585
776,1475,2079
777,1476,2585
778,1476,4280
779,1476,7338
780,1479,2585
781,1479,7179
782,1479,6846
783,1480,2585
784,1480,1866
785,1480,3541
786,1486,2585
787,1488,9134
788,1489,2585
789,1489,3748
790,1489,7617
791,1491,2585
792,1491,1794
793,1494,2585
794,1494,9026
795,1495,2585
796,1495,1794
797,1499,2585
798,1499,2965
799,1499,6012
800,1504,9023
801,1506,7498
802,1509,2585
803,1509,1794
804,1510,2585
805,1510,1794
806,1511,2585
807,1511,6608
808,1515,2585
809,1515,1769
810,1515,7363
811,1516,77
812,1516,1769
813,1516,7363
814,1517,77
815,1517,1769
816,1517,7363
817,1517,7987
818,1518,77
819,1518,125
820,1518,6846
821,1519,77
822,1519,7470
823,1519,9028
824,1521,77
825,1521,6881
826,1521,3274
827,1523,77
828,1523,6967
829,1525,77
830,1525,8484
831,1526,77
832,1526,1847
833,1526,8111
834,1527,77
835,1527,7363
836,1527,1769
837,1529,8091
838,1530,77
839,1530,2956
840,1530,7343
841,1531,77
842,1531,1847
843,1531,8111
844,1532,77
845,1532,2196
846,1533,77
847,1533,2196
848,1536,8120
849,1536,1769
850,1536,7363
851,1536,4387
852,1536,6103
853,1537,8120
854,1537,6749
855,1538,8120
856,1538,6749
857,1540,8120
858,1540,7472
859,1540,2174
860,1542,8120
861,1542,7470
862,1542,748
863,1546,8120
864,1546,6881
865,1546,6762
866,1547,8120
867,1547,1769
868,1547,1233
869,1548,8120
870,1548,2199
871,1549,8120
872,1549,2236
873,1549,3152
874,1554,8120
875,1554,3557
876,1555,8120
877,1555,6749
878,1558,8120
879,1558,7631
880,1559,8120
881,1559,748
882,1559,1517
883,1560,544
884,1560,9026
885,1560,7363
886,1560,2163
887,1561,544
888,1561,3973
889,1562,544
890,1562,6314
891,1563,544
892,1563,1847
893,1566,544
894,1566,6881
895,1567,544
896,1567,111
897,1568,544
898,1568,3973
899,1571,544
900,1571,4897
901,1572,544
902,1572,3973
903,1576,544
904,1576,1709
905,1577,544
906,1577,2174
907,1579,544
908,1579,3973
909,1584,8901
910,1585,2152
911,1586,544
912,1586,2163
913,1590,544
914,1590,7803
915,1591,544
916,1591,7916
917,1592,544
918,1592,111
919,1592,1709
920,1592,1724
921,1595,319
922,1618,5689
923,1620,2936
924,1625,9112
925,1627,475
926,1633,1680
927,1634,2888
928,1642,7210
929,1643,7210
930,1645,7210
931,1645,270
932,1646,7210
933,1654,7210
934,1658,4731
935,1658,5048
936,1664,4731
937,1664,5048
938,1667,2556
939,1681,611
940,1681,4289
941,1681,5603
942,1684,611
943,1684,8610
944,1684,5541
945,1685,611
946,1685,967
947,1685,4289
948,1686,6893
949,1693,611
950,1693,1551
951,1698,611
952,1698,6893
953,1698,2711
954,1702,2821
955,1703,3284
956,1707,611
957,1707,864
958,1707,2244
959,1709,485
960,1710,485
961,1713,6567
962,1713,254
963,1715,6567
964,1715,1848
965,1715,1939
966,1718,6567
967,1718,748
968,1718,1176
969,1720,6567
970,1720,9111
971,1721,6567
972,1721,9111
973,1722,6517
974,1722,3614
975,1725,6567
976,1725,3560
977,1725,2788
978,1728,6567
979,1728,6844
980,1729,6567
981,1729,2696
982,1730,6567
983,1730,2696
984,1731,6517
985,1731,6019
986,1744,6039
987,1750,1233
988,1752,8120
989,1752,7179
990,1752,1233
991,1761,8120
992,1761,7179
993,1761,1233
994,1771,7293
995,1771,5785
996,1796,3358
997,1796,7472
998,1800,8091
999,1801,8091
1000,1804,8091
1001,1805,8091
1002,1814,1616
1003,1815,1616
1004,1815,5148
1005,1823,4482
1006,1824,4482
1007,1839,3870
1008,1843,1605
1009,1845,4476
1010,1846,4298
1011,1848,4698
1012,1849,6415
1013,1850,1138
1014,1852,3601
1015,1852,616
1016,1853,4642
1017,1853,5517
1018,1856,1221
1019,1869,654
1020,1877,6191
1021,1877,7493
1022,1879,6191
1023,1879,7493
1024,1883,6191
1025,1883,7493
1026,1887,8342
1027,1887,8343
1028,1887,8405
1029,1888,3813
1030,1889,3813
1031,1889,8890
1032,1891,3813
1033,1891,2946
1034,1891,3392
1035,1893,3813
1036,1893,1087
1037,1894,4476
1038,1896,1692
1039,1896,4476
1040,1898,4476
1041,1902,8813
1042,1902,4476
1043,1902,1692
1044,1902,222
1045,1902,9206
1046,1911,8602
1047,1914,8602
1048,1925,1822
1049,1925,6901
1050,1931,577
1051,1934,5379
1052,1935,5379
1053,1935,7949
1054,1936,5379
1055,1936,6764
1056,1937,5379
1057,1937,4063
1058,1937,2713
1059,1946,5379
1060,1946,2328
1061,1947,5379
1062,1955,1195
1063,1955,4864
1064,1955,1517
1065,1957,1195
1066,1957,2999
1067,1958,8121
1068,1959,1195
1069,1959,2999
1070,1960,1195
1071,1960,8093
1072,1972,3662
1073,1976,4653
1074,1982,1195
1075,1984,1195
1076,1984,5830
1077,1984,3164
1078,1985,1195
1079,1985,3018
1080,1987,1617
1081,1988,3839
1082,1990,1195
1083,1990,6645
1084,1990,3164
1085,1991,3870
1086,1993,3870
1087,1999,1470
1088,2002,3565
1089,2004,6955
1090,2005,3565
1091,2010,2693
1092,2011,2693
1093,2015,2693
1094,2019,7970
1095,2022,544
1096,2022,626
1097,2025,544
1098,2025,3973
1099,2026,7081
1100,2028,544
1101,2028,7523
1102,2034,544
1103,2034,2611
1104,2034,8914
1105,2043,6693
1106,2045,7138
1107,2045,2699
1108,2046,7138
1109,2046,2699
1110,2048,7138
1111,2048,8697
1112,2049,7138
1113,2051,7138
1114,2052,7138
1115,2054,7138
1116,2056,6740
1117,2057,6681
1118,2058,5876
1119,2058,9165
1120,2058,1049
1121,2059,7138
1122,2067,1600
1123,2068,1600
1124,2071,1600
1125,2072,1600
1126,2074,1600
1127,2077,6438
1128,2077,1600
1129,2078,1600
1130,2081,2157
1131,2081,1600
1132,2093,8200
1133,2094,8200
1134,2094,5190
1135,2095,8200
1136,2096,8200
1137,2099,1757
1138,2099,8200
1139,2100,8200
1140,2100,4962
1141,2100,3459
1142,2100,8653
1143,2100,118
1144,2100,7219
1145,2102,4251
1146,2103,8200
1147,2103,7643
1148,2104,5125
1149,2104,8200
1150,2107,6977
1151,2109,8653
1152,2112,621
1153,2112,7523
1154,2112,6800
1155,2113,621
1156,2113,5192
1157,2113,1777
1158,2122,621
1159,2122,5192
1160,2123,6357
1161,2123,6913
1162,2126,4533
1163,2127,8564
1164,2127,4545
1165,2127,6401
1166,2136,6050
1167,2137,6050
1168,2140,5492
1169,2142,8482
1170,2144,5694
1171,2144,451
1172,2144,163
1173,2151,3813
1174,2151,3392
1175,2152,4744
1176,2153,3813
1177,2155,3813
1178,2155,1930
1179,2156,3813
1180,2156,3729
1181,2156,430
1182,2156,7339
1183,2156,5922
1184,2156,1927
1185,2157,4955
1186,2157,8687
1187,2166,2550
1188,2166,2092
1189,2167,3949
1190,2167,2830
1191,2176,4659
1192,2178,3126
1193,2178,2681
